file_year,title,school,dept,grad_year,degree,author,url
105,台東外洋海域急速成長波浪研究,國立臺灣海洋大學,海洋環境資訊系,105,碩士,林詩韻,https://hdl.handle.net/11296/v93yy8
105,臺東縣公私立幼兒園之 「融入式英語教學」調查研究,國立臺東大學,幼兒教育學系,105,碩士,許銘蘋,https://hdl.handle.net/11296/hb74jv
105,台東糖廠閒置空間再利用之研究,國立臺東大學,公共與文化事務學系,105,碩士,李汪諭,https://hdl.handle.net/11296/hs9jb5
105,臺東縣公私立幼兒園之「融入式英語教學」調查研究,國立臺東大學,幼兒教育學系,105,碩士,許銘蘋,https://hdl.handle.net/11296/hcw2zj
105,台灣原住民菁英政治參與之研究─以台東縣延平鄉為例,佛光大學,公共事務學系,105,碩士,胡琢傑,https://hdl.handle.net/11296/x5z74v
105,以學校為核心帶動周邊社區產業發展可行性評估－以台東知本國中為例,正修科技大學,營建工程研究所,105,碩士,胡仁豪,https://hdl.handle.net/11296/8d8j8e
105,台東縣高中職綜合職能科畢業生生活品質調查研究,國立高雄師範大學,諮商心理與復健諮商研究所,105,碩士,潘佳伶,https://hdl.handle.net/11296/3dzh3a
105,台東布農族的人名：戶籍登錄與改姓名,國立政治大學,民族學系,105,碩士,劉千甄,https://hdl.handle.net/11296/b33229
105,台東縣太麻里鄉Tjavualji（大麻里）部落一位竹占師兼祭司之研究：Vuvu i Gaitjang（卓良光先生）的生命歷程,國立政治大學,民族學系,105,碩士,余明旂,https://hdl.handle.net/11296/ua276s
105,台東縣金峰鄉嘉蘭村災後地景建構研究,國立臺灣師範大學,地理學系,105,碩士,吳東祐,https://hdl.handle.net/11296/b3q959
105,台東地區護理人員工作壓力、休閒調適策略與職業倦怠關係之研究,國立臺東大學,進修部休閒事業管理組碩(夜間）,105,碩士,謝宜庭,https://hdl.handle.net/11296/p72n85
105,以花、果、穀類培養天然酵母在土司製作品質差異之探討 以台東農特產：洛神花、釋迦、小米為例,國立高雄餐旅大學,飲食文化暨餐飲創新研究所,105,碩士,黃韋恩,https://hdl.handle.net/11296/6wbh22
105,採用網路行銷活絡原住民溫泉觀光地區之研究-以台東縣金峰鄉為例,嘉南藥理大學,觀光事業管理系,105,碩士,陳虹米,https://hdl.handle.net/11296/q3dcy5
105,重複閱讀策略對閱讀流暢度表現之行動研究─以臺東縣國小二年級原住民學童為例,國立屏東大學,教育學系碩士班,105,碩士,蔡明秀,https://hdl.handle.net/11296/qnnxaa
105,臺東縣國民小學體育教師專業能力與教學效能之研究,國立屏東大學,教育行政研究所,105,碩士,鍾欣妤,https://hdl.handle.net/11296/vej9dr
105,工時彈性化對醫院人力管理之影響_以台東地區為例,國立中正大學,勞工關係學系碩士在職專班,105,碩士,王錦華,https://hdl.handle.net/11296/5at232
105,臺東地區民宿消費者住宿體驗、滿意度及再宿意願之研究,臺北城市科技大學,休閒事業系碩士班,105,碩士,黃木棪,https://hdl.handle.net/11296/v8ybne
105,幼教老師對幼兒飲食行為認知之研究 -以台東縣幼兒園為例,中州科技大學,保健食品系,105,碩士,高忠輝,https://hdl.handle.net/11296/c3qgp3
105,臺東縣國民中學學生自我認同、親子關係與幸福感之關係研究,國立高雄師範大學,教育學系,105,碩士,黃詩雯,https://hdl.handle.net/11296/2v89te
105,臺東縣國民中小學特殊教育領域教師工作壓力、工作投入與自我效能之關係研究,國立高雄師範大學,教育學系,105,碩士,石庭亦,https://hdl.handle.net/11296/8qry74
105,利用元基因組學分析台東土壤微生物之研究,大葉大學,生物產業科技學系,105,碩士,黃翊翔,https://hdl.handle.net/11296/kjsae4
105,台東市桌上型遊戲融入高中一年級機率教學成效之研究,國立高雄師範大學,數學系,105,碩士,簡愷邑,https://hdl.handle.net/11296/3k28dk
105,在臺東南亞消費者對臺灣外帶杯手搖茶飲的知識、態度、行為意圖之研究,東海大學,餐旅管理學系,105,碩士,葉芯宇,https://hdl.handle.net/11296/rtfweh
105,臺東縣政府海岸帶綜合管理能力評估,國立高雄海洋科技大學,海洋事務與產業管理研究所,105,碩士,楊明璋,https://hdl.handle.net/11296/73hrb7
105,農業生產在複合型休閒農場中設計定位之探討 ─以臺東縣大頭目知本溫泉休閒農場為例,國立宜蘭大學,生物資源學院碩士在職專班,105,碩士,蔡仁傑,https://hdl.handle.net/11296/uh2rmr
105,臺東地區溯溪活動參與者人格特質、參與動機、體驗價值與再遊意願研究,國立臺東大學,進修部暑期體育碩士班,105,碩士,葉書仰,https://hdl.handle.net/11296/85d7wm
105,智慧化城市推動之服務品質對地方政府E化行政治理成效與首長施政滿意度影響之研究：以臺東縣智慧化城市建構為實證,國立臺東大學,資訊管理學系碩士班,105,碩士,董宥廷,https://hdl.handle.net/11296/t7zk72
