year,id,title,org,keyword,abstract_url
82,12719,台東縣長濱鄉民眾獲得衛生教育知識來源及方式研究,馬偕紀念醫院,,https://www.grb.gov.tw/search/planDetail2?id=12719
82,9444,臺東地區焚風現象之觀測及其對果樹生育之影響,台灣省台東區農業改良場(TTDA),臺東地區；焚風；果樹,https://www.grb.gov.tw/search/planDetail2?id=9444
82,40573,臺東地區紅豆、烏豆及野生大豆適應性試驗,台東農改場,,https://www.grb.gov.tw/search/planDetail2?id=40573
82,34368,台東地區致過敏花粉之調查(I),花蓮師範學院數理教育學系,,https://www.grb.gov.tw/search/planDetail2?id=34368
82,30804,臺東地區基層農民組織功能之評估,台東農改場,,https://www.grb.gov.tw/search/planDetail2?id=30804
82,34231,台東地區空中真菌孢子相之研究(I),台灣大學植物學系,,https://www.grb.gov.tw/search/planDetail2?id=34231
82,63549,台東縱谷之電性地層學研究,中央大學地球物理研究所,台東縱谷；地電,https://www.grb.gov.tw/search/planDetail2?id=63549
82,43406,台東海岸山脈闊葉林自然保護區動物相調查研究,屏東技術學院森林資源技術系,,https://www.grb.gov.tw/search/planDetail2?id=43406
82,58449,台東縱谷北段三維地殼構造之震測研究,中央大學地球物理研究所,三維地殼構造；花蓮實驗；震測,https://www.grb.gov.tw/search/planDetail2?id=58449
82,58458,併合電磁波法研究花蓮-台東縱谷,中央大學地球物理研究所,花東縱谷；暫態電磁波法；控源聲頻電磁法,https://www.grb.gov.tw/search/planDetail2?id=58458
82,70757,台東縣山地原始聚落遺址勘查研究計畫,台東縣政府,台東,https://www.grb.gov.tw/search/planDetail2?id=70757
82,66606,亞洲勞力移動研究---在台東南亞勞工之分析,中央研究院經濟研究所,國際勞工移動；外籍勞工；東南亞區域關係；勞動巿場分析；國際合作研究；勞工政策分析,https://www.grb.gov.tw/search/planDetail2?id=66606
82,75196,台東地區焚風現象之觀測及其對果樹生育影響之研究,台灣省台東區農業改良場(TTDA),焚風；果樹；台東地區；山脈；枇杷；番荔枝,https://www.grb.gov.tw/search/planDetail2?id=75196
83,97593,臺東地區農漁村青年創業與改進農業經營貸款之效益調查研究,台東農改場,,https://www.grb.gov.tw/search/planDetail2?id=97593
83,90457,台東綜谷北投三維地殼構造之震測研究(II),國立中央大學地球科學系,,https://www.grb.gov.tw/search/planDetail2?id=90457
83,106224,台東區植物種原之保存及利用,行政院農業委員會台東區農業改良場,,https://www.grb.gov.tw/search/planDetail2?id=106224
83,100099,台東北部樟原外海沉積構造和斜坡穩定度之研究,國立台灣大學海洋研究所,,https://www.grb.gov.tw/search/planDetail2?id=100099
83,113690,台東地區致過敏花粉之調查(II),國立花蓮師範學院數理教育學系,,https://www.grb.gov.tw/search/planDetail2?id=113690
83,99214,臺東區紅豆、烏豆、綠肥用大豆及野生大豆適應性試驗,行政院農業委員會台東區農業改良場,,https://www.grb.gov.tw/search/planDetail2?id=99214
83,127113,台東地區空中真菌孢子相之研究(II),國立台灣大學植物學系,真菌孢子；空中孢子；台東,https://www.grb.gov.tw/search/planDetail2?id=127113
84,139106,台灣東部海岸風景特定區(花蓮至台東)原住民家屋及建築景觀發展之研究,台灣大學農業工程學系,地域性建築；地形景觀；建築景觀；花蓮；台東；台灣東部,https://www.grb.gov.tw/search/planDetail2?id=139106
84,143825,台東糖廠豐樂農場土地規則開發利用可行性研究,森海國際工程顧問股份有限公司,,https://www.grb.gov.tw/search/planDetail2?id=143825
84,164937,巒大、丹大、羅東南、台東北等區整體空中三角平差方法及DTM量測方法改進研究,成功大學測量工程系(NCKESUE),空中三角測量；數值地型；等高線追蹤,https://www.grb.gov.tw/search/planDetail2?id=164937
84,166593,臺東區「農業專訊」雜誌發行成效之研究,台東農改場,,https://www.grb.gov.tw/search/planDetail2?id=166593
84,168730,台灣東部及蘭陽地區山坡地土壤力學性質基本資料調查計劃---台東地區,高苑工商土木科,,https://www.grb.gov.tw/search/planDetail2?id=168730
84,185049,台東地區空中真菌孢子相之研究(III),國立台灣大學植物學系,真菌孢子；空中孢子；空中真菌孢子相；台東；台灣,https://www.grb.gov.tw/search/planDetail2?id=185049
84,199289,大武台灣油杉、海岸山脈台灣蘇鐵、台東台灣獼猴自然保護區之植群生態研究,國立屏東技術學院森林系,台灣油杉；台灣蘇鐵；台灣獼猴；台灣東部；自然保育,https://www.grb.gov.tw/search/planDetail2?id=199289
84,193010,台東地區致敏孢粉之調查,國立花蓮師範學院數理教育學系,致敏花粉；花粉曆；空中花粉,https://www.grb.gov.tw/search/planDetail2?id=193010
84,192864,測量台東縱谷北段之地殼變動,私立大漢工商專科學校土木工程科,地震預測；台東；花蓮；紅外線雷射測距網；地磁測量陣列；壽豐地區；地殼變動,https://www.grb.gov.tw/search/planDetail2?id=192864
86,288629,台灣及其鄰近地區三維地下構造研究---子計畫五：台東地區的速度橫向變化研究,中央研究院地球科學研究所,聯合地震定位；測站修正值；速度橫向變化；隱沒；三維速度構造；台東,https://www.grb.gov.tw/search/planDetail2?id=288629
86,288459,台東縱谷地震與斷層關係之研究,經濟部中央地質調查所,地震；斷層；花東縱谷；活動斷層,https://www.grb.gov.tw/search/planDetail2?id=288459
86,309357,台灣產中藥材資源之調查研究(V)---台東縣藥用植物資源之調查,中國醫藥學院,台東；藥用植物；中藥材,https://www.grb.gov.tw/search/planDetail2?id=309357
86,324824,台東區農業改良場轄區重要農產品產銷結構之規劃：金針及白柚之產銷規劃,台灣省台東區農業改良場,金針；白柚；產銷；台東,https://www.grb.gov.tw/search/planDetail2?id=324824
86,319347,台灣地區礦場開發地理資料庫之建占與應用(宜蘭、台東區域)　,台灣省工礦安全衛生技師公會,地理資訊系統；資料庫管理；礦場開發,https://www.grb.gov.tw/search/planDetail2?id=319347
86,327053,台東地區盤固拉草乾燥設施之研製,屏東技術學院機械工程技術系,台東縣；盤固草；乾燥機；農業機械,https://www.grb.gov.tw/search/planDetail2?id=327053
86,338264,台北縣暨台東縣沿岸海域人工魚礁投礁地點可行性調查暨現有魚礁區投放後之效益評估調查,中國海專,人工魚礁；效益調估；台北；台東；漁場,https://www.grb.gov.tw/search/planDetail2?id=338264
87,334646,台東地區小學的社區結構與科學教育研究(I),台東師範學院初等教育系,科學教育；教育人類學；社區研究；社區結構；偏遠小學,https://www.grb.gov.tw/search/planDetail2?id=334646
87,360364,台灣及其鄰近地區三維地下構造研究---子計畫七：台東地區三維速度構造之研究,中央研究院地球科學研究所,三維速度構造；隱沒帶；台東；地震資料；地下構造,https://www.grb.gov.tw/search/planDetail2?id=360364
87,363557,荷蘭時代花東地區原住民聚落景觀和族群互動之探討,花蓮師範學院社會科教育系,南島語族；族群關係；台灣史；荷蘭東印度公司；花蓮；台東,https://www.grb.gov.tw/search/planDetail2?id=363557
87,371255,台灣地區大地震的前震及餘震特徵研究(III)苗栗、台中及台東地區,國立中央大學,前震；餘震；大地震,https://www.grb.gov.tw/search/planDetail2?id=371255
87,399487,八十七年度屏東、台東海域設置人工魚礁之效益評估,國立高雄海洋技術學院,人工魚礁；效益評估；漁業資源；海洋環境,https://www.grb.gov.tw/search/planDetail2?id=399487
87,397548,台灣東部及蘭陽地區山坡土壤力學性質基本資料調查計畫---台東地區(IV),私立高苑工商專科學校,土壤力學性質；台東地區；蘭陽地區；山坡地,https://www.grb.gov.tw/search/planDetail2?id=397548
87,382985,台東紅葉村台東蘇鐵自然保留區蝶相及蘇鐵小灰蝶生態研究,國立台灣師範大學,台東蘇鐵；東陞蘇鐵小灰蝶；保育；生態,https://www.grb.gov.tw/search/planDetail2?id=382985
87,385706,台東地區採石工人之潛水特性調查及潛水衛生教育講習,國防醫學院海底醫學研究中心,減壓症；異常氣壓工作人員；採石工人；潛水記錄器,https://www.grb.gov.tw/search/planDetail2?id=385706
87,408430,台東地區中小科學教師對科學本質暸解研究,台東師範學院數理教育系,科學教師；學科教學知識；小學教師；中學教師；科學本質；台東地區,https://www.grb.gov.tw/search/planDetail2?id=408430
88,459271,從比較民族植物學探討台灣地區民族間關係---台東地區(I),台東師範學院數理教育系,民族學；文化人類學；原住民；比較民族植物學；台灣地區；台東,https://www.grb.gov.tw/search/planDetail2?id=459271
88,438945,台東地區中小學學生科學概念學習狀況調查研究,台東師範學院數理教育系,科學概念；概念學習；台東地區；國小學生；中學生,https://www.grb.gov.tw/search/planDetail2?id=438945
88,438953,台東縣一布農部落孩童數學學習動機研究,台東師範學院社會科教育系,原住民學生；數學學習；學習動機；台東縣；布農族；國中學生,https://www.grb.gov.tw/search/planDetail2?id=438953
88,440619,花東縱谷斷層之高解析度震測---台東池上斷層夯實機震源之高解析度震測(I),台灣海洋大學應用地球物理研究所,震測；縱谷斷層；池上斷層；活斷層,https://www.grb.gov.tw/search/planDetail2?id=440619
88,422102,國科會委託東部自然科學期刊及圖書服務計畫,東華大學應用數學系,自然科學；圖書館服務；學術期刊；花蓮；台東；資訊服務；台灣東部,https://www.grb.gov.tw/search/planDetail2?id=422102
88,490527,台東紅葉村台東蘇鐵自然保留區職務相調查研究,中興大學,台東蘇鐵；自然保育；植物相,https://www.grb.gov.tw/search/planDetail2?id=490527
88,490530,台東紅葉村台東蘇鐵自然保留區東陞蘇鐵小灰蝶生態基本資料研究(II),台灣師範大學,東陞蘇鐵小灰蝶；台東蘇鐵；共同演化,https://www.grb.gov.tw/search/planDetail2?id=490530
88,490642,台東市都市開放空間系統建構及門戶景觀改造計畫,中華民國都市計畫學會,開放空間；門戶景觀；都市計畫；土地使用,https://www.grb.gov.tw/search/planDetail2?id=490642
88,487197,台灣沿近海漁場整備---宜蘭縣龜山島及台東務綠島，蘭嶼外海人工浮魚礁,台灣省水產試驗所漁業系,人工浮魚礁；效益調查；東北部海域,https://www.grb.gov.tw/search/planDetail2?id=487197
88,1126927,台東縣蘭嶼鄉、綠島鄉巡迴醫療提供之成果評估,台灣公共衛生學會,山地離島；醫療利用；巡迴醫療,https://www.grb.gov.tw/search/planDetail2?id=1126927
