file_year,title,school,dept,author,url
102,臺東縣低收入戶及中低收入戶生活狀況研究,建國科技大學,土木工程系暨土木與防災研究所,陳美玉,https://hdl.handle.net/11296/u5xeuq
102,保安林遊憩效益評估-以台東森林公園為例,國立臺灣大學,森林環境暨資源學研究所,林琮維,https://hdl.handle.net/11296/655fuv
102,社會支持對保護性社工因應壓力之初探：以花蓮、台東為例,國立東華大學,社會學系,馬楓淞,https://hdl.handle.net/11296/n493ys
102,應用地理資訊系統探討臺東縣歷史災害空間特性,國立東華大學,自然資源與環境學系,林敬發,https://hdl.handle.net/11296/37t2j9
102,臺東地區國小原住民學生認知能力表現之研究,國立高雄師範大學,特殊教育學系,王盈丹,https://hdl.handle.net/11296/xq7d6v
102,台東縣議員建議款分配的政治分析,國立臺北大學,公共行政暨政策學系,廖彥傑,https://hdl.handle.net/11296/43662w
102,護理人員工作壓力、休閒參與及身心健康之探討－以台東地區退輔會機構護理人員為例,國立臺東大學,休閒事業管理碩士在職專班,廖珠卿,https://hdl.handle.net/11296/vng84z
102,國民旅遊卡使用行為、休閒效益與幸福感關係之研究-以臺東地區矯正機關為例,國立臺東大學,休閒事業管理碩士在職專班,陳彥銘,https://hdl.handle.net/11296/524pcr
102,已婚保護性社會工作人員的壓力及角色衝突－以臺東縣為例,高苑科技大學,經營管理研究所,紀博甄,https://hdl.handle.net/11296/bz7jh4
102,臺東縣延平鄉鸞山森林文化博物館 生態旅遊發展之研究,高苑科技大學,經營管理研究所,紀博妃,https://hdl.handle.net/11296/kwc867
102,新移民工作壓力與家庭生活幸福感關係之研究-以臺東縣為例,國立臺灣師範大學,社會教育學系,蘇雅如,https://hdl.handle.net/11296/afrd4p
102,台東鄉土人物誌－陳東宏水墨創作論述,國立臺東大學,美術產業碩士學位在職進修專班,陳東宏,https://hdl.handle.net/11296/f625vs
102,iBooks應用於國小五年級藝術與人文課程教學之行動研究─以臺東縣泰源國小為例,國立臺東大學,美術產業碩士學位在職進修專班,許婉瑜,https://hdl.handle.net/11296/tp67r5
102,多媒體電子書應用於國小六年級藝術與人文領域教學之行動研究–以台東縣太平國小為例,國立臺東大學,美術產業碩士學位在職進修專班,吳敏生,https://hdl.handle.net/11296/9jj7u7
