year,id,title,org,keyword,field
89,496196,台東縣農地砂石資源調查及整體規劃計畫,私立中國文化大學地質學系,砂石； 環境維護；賦存量,土木水利工程
89,500261,台東縣一阿美部落孩童數學成就歸因研究,台東師範學院社會科教育系,數學學習；原住民兒童；阿美族；台東縣；成就歸因,教育學
89,495093,由CIPP評鑑模式探討特殊教育資源規劃之可行性---以台東縣為例,台東師範學院特殊教育系,CIPP 評鑑模式；特殊教育；資源規劃,教育學
89,509995,活動斷層地球物理探勘計畫(III)---台灣中部與台東地區活動斷層地球物理探勘,國立中正大學,地球物理探勘；活動斷層；地震活動度；中部地區；台東地區,地球科學
89,539086,從比較民族植物學探討台灣地區民族間關係---台東地區(II),台東師範學院數理教育系,民族學；文化人類學；原住民；比較民族植物學；台東,人類學
89,492331,花東縱谷斷層之高解析度震測(II)台東大坡地區斷層夯實機震源之高解析度震測,台灣海洋大學應用地球物理研究所,高解析度震測；花東斷層,地球科學
89,558817,台東一布農部落國中輟學生歸因歷程質性研究,國立臺東師範學院社會科教育學系,,教育學
89,529433,花東地區噶瑪蘭人的歷史變遷（1874-1945年）,中央研究院台灣史研究所籌備處,花蓮地區；噶瑪蘭人；遷徙；台東地區；原住民,"歷史,人類學"
89,552407,台東縣魯凱族達魯瑪克部落傳統領域內野生植物永續利用之研究(I),國立臺東師範學院數學教育學系,,"生物科學,人類學"
89,532699,台東地區小學的社區結構與科學教育研究(III),台東師範學院初等教育系,國民小學；科學教育；台東地區；社區結構,科學教育
89,554805,台東卑南族口傳文學與習俗文化關聯研究,臺北巿立師範學院語文教育學系,,語文
89,595925,臺灣產爬蟲類的分布調查---臺東地區爬蟲相之調查,國立臺灣博物館,臺灣；爬蟲類；臺東地區,生物科學
89,610991,台東縣卑南鄉加路蘭村地方利吉層禁採區調整劃設範圍之評估研究,中國地質學會,台東縣；卑南鄉；加路蘭村；利吉層；禁採區；調整劃設範圍,地球科學
89,587109,台東山地鄉衛生所護士在職教育需求與實施成效之探討,臺北醫學大學護理學研究所,,"護理學,教育學"
89,724740,1999台東縣電子化政府資訊月特展---迎接千禧年來臨,台灣原住民塔麓灣永續發展協會,,公共行政
91,768384,台東蘇鐵與琉球蘇鐵之親緣地理研究(I),成功大學生物系,,"生物科學,自然生態保育"
