year,author,title,school,dept,degree,advisor,url
106,曾婉晴,偏鄉學校教育安定方案之評估：臺東縣偏遠國中小學校為例,國立政治大學,公共行政學系,碩士,施能傑,https://hdl.handle.net/11296/at856j
106,湯瑞霞,即時通訊軟體使用行為對人際關係影響之研究- 以台東縣LINE使用者為例,華梵大學,資訊管理學系碩士班,碩士,林誠,https://hdl.handle.net/11296/3tuwab
106,林若蕎,臺東縣推動「提升國中小學生英語學習成效實驗專案」之研究,國立臺東大學,教育學系課程與教學碩士班,碩士,何俊青,https://hdl.handle.net/11296/529qzv
106,李春幸,性向測驗、興趣測驗與升學進路之相關研究—以臺東縣離島國中為例,國立臺東大學,進修部暑期課程與教學碩專班,碩士,鄭承昌,https://hdl.handle.net/11296/myycqk
106,陳春香,臺東市馬蘭阿美從巫師到乩童信仰的轉變-以金龍宮為例,國立臺東大學,進修部暑期文化資源與休閒產業碩士專班,碩士,李玉芬,https://hdl.handle.net/11296/rwwnh8
106,林柏呈,結合翻轉教室與合作學習於標誌設計課程之應用-以台東縣某國中七年級為例,國立東華大學,藝術與設計學系,碩士,黃琡雅,https://hdl.handle.net/11296/z55wjt
106,李惠鈴,臺東縣教保服務人員工作壓力與運動參與程度之研究,國立屏東大學,體育學系碩士班,碩士,黃任閔,https://hdl.handle.net/11296/va5762
106,黃錫雄,公共工程綠建築標章認證升級之可行性評估研究-以臺灣鐵路台東站和池上站為例,國立屏東科技大學,土木工程系所,碩士,唐琦,https://hdl.handle.net/11296/ythz8j
106,莊玉華,觀光休閒產業之移動與鏈結研究以台東豐年機場為例,中原大學,室內設計研究所,碩士,魏主榮,https://hdl.handle.net/11296/2874p2
106,呂岳桐,臺灣城市空間景觀管理於都市計畫土地使用管制的困境與出路－以臺東縣景觀綱要計畫案為例,國立高雄大學,創意設計與建築學系碩士班,碩士,曾梓峰,https://hdl.handle.net/11296/epcgv7
106,黃渝淓,以農食文化為基礎發展地方創生之研究－臺東池上鄉為例,元智大學,藝術與設計學系-藝術管理碩士班,碩士,黃琬雯,https://hdl.handle.net/11296/qd9dtk
106,曾增育,台灣東部海岸國家風景區台東段景點之社會網絡分析,臺北市立大學,歷史與地理學系,碩士,張政亮,https://hdl.handle.net/11296/24pd73
106,朱芸萱,國小客語教師客語教學經驗之研究-以臺東縣為例,國立臺東大學,教育學系課程與教學碩士班,碩士,張如慧,https://hdl.handle.net/11296/n557m7
106,呂一卉,臺東青年返鄉者心路歷程初探,國立臺東大學,文化資源與休閒產業學系碩士班,碩士,張凱智,https://hdl.handle.net/11296/5y596p
106,薛應勤,溫泉部落轉型養生村可行性之研究 —以臺東縣金崙溫泉區為例,嘉南藥理大學,觀光事業管理系,碩士,陳忠偉,https://hdl.handle.net/11296/5whe6u
106,陳政宏,台東高溫溫泉煮食海鮮最佳時間之研究,嘉南藥理大學,觀光事業管理系,碩士,陳忠偉,https://hdl.handle.net/11296/ry8r6g
106,羅郁婷,目的地意象與民宿休憩滿意度之研究— 以臺東地區民宿為例,國立臺北教育大學,文化創意產業經營學系,碩士,林義斌,https://hdl.handle.net/11296/ym76yc
106,張雅焄,臺東都蘭阿米斯音樂節遊客體驗價值、滿意度與重遊意願之相關研究,國立雲林科技大學,休閒運動研究所,碩士,蘇維杉,https://hdl.handle.net/11296/2cq24p
106,劉芳潔,臺東縣國中導師情緒勞務與因應策略之研究,國立中正大學,教學專業發展數位學習碩士在職專班,碩士,胡夢鯨,https://hdl.handle.net/11296/78x3z8
106,胡益源,遊客探訪台東鐵花村滿意度探討,康寧大學,休閒管理研究所,碩士,張耀川,https://hdl.handle.net/11296/csh982
106,陳聖謙,台東嘉明湖登山客攀登嘉明湖滿意度之研究,康寧大學,休閒管理研究所,碩士,張耀川,https://hdl.handle.net/11296/359nwj
106,曾振榮,台東池上鄉萬安社區遊客旅遊動機、滿意度與重遊意願之研究,大漢技術學院,流通與行銷管理研究所,碩士,李英蘭,https://hdl.handle.net/11296/aygg74
106,吳慧麗,意象劇場運用於表演藝術課程融入原住民族教育議題教學之成效研究 —以臺東縣某國小六年級為例,國立臺灣藝術大學,表演藝術教學碩士學位班,碩士,李其昌,https://hdl.handle.net/11296/44k84a
106,蕭燕菁,居家服務管理資訊系統使用者需求、滿意度及使用意願探討之研究–以台東聖母醫院為例,輔仁大學,跨專業長期照護碩士學位學程在職專班,碩士,梅興,https://hdl.handle.net/11296/b86xb5
106,鄭琬霖,社會企業運作模式之研究-以臺東地區四個原住民部落為例,國立暨南國際大學,非營利組織經營管理碩士學位學程在職專班,碩士,黃源協,https://hdl.handle.net/11296/v85c9w
106,李培甄,台東縣觀光發展計畫結合公共藝術之研究,東方設計大學,流行商品設計系,碩士,郭文昌,https://hdl.handle.net/11296/k3hur4
106,林欣宜,「東路悠悠」—臺東觀光之文化資產圖樣設計應用創作,國立雲林科技大學,視覺傳達設計系,碩士,林加雯,https://hdl.handle.net/11296/p9t94m
106,陳世昌,望海的故鄉-台東沿海民宿設計,中原大學,室內設計研究所,碩士,倪晶瑋,https://hdl.handle.net/11296/8722g7
106,蔡昇憲,節慶活動關鍵成功因素探討-以台東元宵節為例,國立高雄應用科技大學,觀光與餐旅管理研究所,碩士,王明元,https://hdl.handle.net/11296/jf8akj
106,葉純甄,台灣海岸侵蝕風險評估-以雲林、台東海岸為例,國立臺灣海洋大學,河海工程學系,碩士,黃偉柏,https://hdl.handle.net/11296/238b5t
106,許雅涵,臺東新港築港事業與漁業移民發展之研究(1929-1999),國立東華大學,歷史學系,碩士,陳鴻圖,https://hdl.handle.net/11296/u28889
106,李曉芳,數位教材輔助教學對學生學習態度與5C關鍵能力影響之研究—以台東縣某國中數學科為例,樹德科技大學,資訊工程系碩士班,碩士,程毓明,https://hdl.handle.net/11296/q6b254
106,鍾友維,GeoStudio應用於降雨型態對崩塌發生之影響研究-以臺東縣達仁鄉D004大規模崩塌區為例,國立成功大學,水利及海洋工程學系,碩士,謝正倫,https://hdl.handle.net/11296/25y29v
106,蘇秉玄,花東發展條例下的台東永續發展治理預應,國立中山大學,公共事務管理研究所,博士,汪明生,https://hdl.handle.net/11296/duu9g7
106,吳卿如,台東海岸變遷與脆弱度探討,國立嘉義大學,土木與水資源工程學系研究所,碩士,陳文俊,https://hdl.handle.net/11296/64rr43
106,黃趙彬,運用國產木材與臺灣森林環境知識設計教育型桌上遊戲-以臺東縣防治外來植物為例,國立嘉義大學,木質材料與設計學系研究所,碩士,李安勝,https://hdl.handle.net/11296/ykk4x7
106,劉曉菁,社區民眾對大腸癌篩檢認知與行為之研究-以臺東縣東河鄉為例,國立臺東大學,進修部運動休閒管理碩(假日),碩士,周財勝,https://hdl.handle.net/11296/2u98j3
107,陳郁靜,國立臺東大學附屬特殊教育學校高職部畢業生就業現況及困境之研究,國立臺東大學,進修部暑期特教碩士班,碩士,劉明松,https://hdl.handle.net/11296/4uw6a7
107,劉奐妤,試論提早進入教育實習現場與教育專業支持系統對師資生之影響─以臺東大學補救教學學程的教學實習歷程為例,國立臺東大學,進修部暑期特教碩士班,碩士,曾世杰,https://hdl.handle.net/11296/89pcaz
107,李松蔚,永續生活實踐之研究─以台東從事自然農法的農戶為例,國立臺東大學,進修部暑期文化資源與休閒產業碩士專班,碩士,江昱仁,https://hdl.handle.net/11296/rqc86b
